time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-24 00:00:00+00:00,6317,333,1837,897
2025-01-25 00:00:00+00:00,6395,278,616,279
2025-01-26 00:00:00+00:00,6341,291,591,292
2025-01-27 00:00:00+00:00,6739,318,2002,968
2025-01-28 00:00:00+00:00,6391,331,2067,1150
2025-01-29 00:00:00+00:00,6367,338,1894,994
2025-01-30 00:00:00+00:00,75878,684,1973,977
2025-01-31 00:00:00+00:00,84879,856,1896,894
2025-02-01 00:00:00+00:00,76585,593,608,275
2025-02-02 00:00:00+00:00,76689,524,675,290
2025-02-03 00:00:00+00:00,84280,741,1872,959
2025-02-04 00:00:00+00:00,85330,933,2255,1120
2025-02-05 00:00:00+00:00,87883,737,2263,1115
2025-02-06 00:00:00+00:00,81878,894,2081,1027
