time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-30 00:00:00+00:00,110155,704,1796,839
2025-07-01 00:00:00+00:00,107323,644,1645,874
2025-07-02 00:00:00+00:00,111465,666,1546,823
2025-07-03 00:00:00+00:00,113858,714,1579,839
2025-07-04 00:00:00+00:00,110270,613,1241,610
2025-07-05 00:00:00+00:00,104648,569,433,226
2025-07-06 00:00:00+00:00,104895,552,393,211
2025-07-07 00:00:00+00:00,108004,784,1486,790
2025-07-08 00:00:00+00:00,110117,913,2068,1007
2025-07-09 00:00:00+00:00,110454,924,1954,989
2025-07-10 00:00:00+00:00,113474,949,1863,901
2025-07-11 00:00:00+00:00,111113,1012,1388,701
2025-07-12 00:00:00+00:00,106766,582,399,193
2025-07-13 00:00:00+00:00,97267,549,406,212
