time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-08 00:00:00+00:00,110117,913,2068,1007
2025-07-09 00:00:00+00:00,110454,924,1954,989
2025-07-10 00:00:00+00:00,113474,949,1863,901
2025-07-11 00:00:00+00:00,111113,1012,1388,701
2025-07-12 00:00:00+00:00,106766,582,399,193
2025-07-13 00:00:00+00:00,106071,554,444,232
2025-07-14 00:00:00+00:00,111783,829,1588,817
2025-07-15 00:00:00+00:00,108838,916,1970,926
2025-07-16 00:00:00+00:00,107056,714,1595,897
2025-07-17 00:00:00+00:00,109015,793,1808,922
2025-07-18 00:00:00+00:00,108624,957,1511,719
2025-07-19 00:00:00+00:00,106122,637,456,242
2025-07-20 00:00:00+00:00,106141,581,453,229
2025-07-21 00:00:00+00:00,102064,773,1613,830
