time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-25 00:00:00+00:00,77669,508,582,258
2023-12-26 00:00:00+00:00,77532,523,1030,452
2023-12-27 00:00:00+00:00,78135,554,1455,613
2023-12-28 00:00:00+00:00,79152,593,1565,586
2023-12-29 00:00:00+00:00,79252,536,1144,465
2023-12-30 00:00:00+00:00,78026,505,531,184
2023-12-31 00:00:00+00:00,77403,478,504,167
2024-01-01 00:00:00+00:00,77591,509,353,184
2024-01-02 00:00:00+00:00,78532,565,1853,745
2024-01-03 00:00:00+00:00,79517,633,2547,922
2024-01-04 00:00:00+00:00,82510,606,2523,926
2024-01-05 00:00:00+00:00,81946,593,1979,870
2024-01-06 00:00:00+00:00,76639,499,516,233
2024-01-07 00:00:00+00:00,69755,491,488,219
