time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-29 00:00:00+00:00,1726,30,113,39
2024-06-30 00:00:00+00:00,1756,33,56,21
2024-07-01 00:00:00+00:00,1870,46,349,102
2024-07-02 00:00:00+00:00,1952,40,333,99
2024-07-03 00:00:00+00:00,1871,39,302,113
2024-07-04 00:00:00+00:00,1898,41,383,84
2024-07-05 00:00:00+00:00,1841,37,214,84
2024-07-06 00:00:00+00:00,1724,31,119,34
2024-07-07 00:00:00+00:00,1795,31,37,25
2024-07-08 00:00:00+00:00,2125,41,367,105
2024-07-09 00:00:00+00:00,2076,45,377,115
2024-07-10 00:00:00+00:00,1885,39,653,134
2024-07-11 00:00:00+00:00,1879,39,718,136
2024-07-12 00:00:00+00:00,1686,34,449,87
